pokedex_number,name_en,name_ko,generation,status,category,is_paldean,is_hisuian,is_galarian,is_alolan,is_mega,is_gigantamax,has_forms,type_number,type_1,type_2,height_m,weight_kg,abilities_number,ability_1,ability_2,ability_hidden,total_points,hp,attack,defense,sp_attack,sp_defense,speed,growth_rate,egg_type_number,egg_type_1,egg_type_2,shape,pokedex_color,image_path
27,sandshrew-alolan,알로라모래두지,1,일반,쥐포켓몬,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2,얼음,강철,0.7,40,2,눈숨기,,눈치우기,300,50,75,90,10,35,40,2,1,육상,,이족꼬리형,하양,
28,sandslash,고지,1,일반,쥐포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,땅,,1,29.5,2,모래숨기,,모래헤치기,450,75,100,110,45,55,65,2,1,육상,,이족꼬리형,노랑,
28,sandslash-alolan,알로라고지,1,일반,쥐포켓몬,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2,얼음,강철,1.2,55,2,눈숨기,,눈치우기,450,75,100,120,25,65,65,2,1,육상,,이족꼬리형,파랑,
29,nidoran-f,니드런♀,1,일반,독침포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,독,,0.4,7,3,독가시,투쟁심,의욕,275,55,47,52,40,40,41,4,2,괴수,육상,사족형,파랑,
30,nidorina,니드리나,1,일반,독침포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,독,,0.8,20,3,독가시,투쟁심,의욕,365,70,62,67,55,55,56,4,1,알미발견,,사족형,파랑,
31,nidoqueen,니드퀸,1,일반,드릴포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,독,땅,1.3,60,3,독가시,투쟁심,우격다짐,505,90,92,87,75,85,76,4,1,알미발견,,이족꼬리형,파랑,
32,nidoran-m,니드런♂,1,일반,독침포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,독,,0.5,9,3,독가시,투쟁심,의욕,273,46,57,40,40,40,50,4,2,괴수,육상,사족형,보라,
33,nidorino,니드리노,1,일반,독침포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,독,,0.9,19.5,3,독가시,투쟁심,의욕,365,61,72,57,55,55,65,4,2,괴수,육상,사족형,보라,
34,nidoking,니드킹,1,일반,드릴포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,독,땅,1.4,62,3,독가시,투쟁심,우격다짐,505,81,102,77,85,75,85,4,2,괴수,육상,이족꼬리형,보라,
35,clefairy,삐삐,1,일반,요정포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,페어리,,0.6,7.5,3,헤롱헤롱바디,매직가드,프렌드가드,323,70,45,48,60,65,35,3,1,요정,,이족꼬리형,담홍,
36,clefable,픽시,1,일반,요정포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,페어리,,1.3,40,3,헤롱헤롱바디,매직가드,천진,483,95,70,73,95,90,60,3,1,요정,,이족꼬리형,담홍,
36,clefable-mega,메가픽시,1,일반,요정포켓몬,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2,페어리,비행,1.7,42.3,3,헤롱헤롱바디,매직가드,,583,95,80,93,135,110,70,3,1,요정,,이족꼬리형,담홍,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/003602.png
37,vulpix,식스테일,1,일반,여우포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,불꽃,,0.6,9.9,2,타오르는불꽃,,가뭄,299,38,41,40,50,65,65,2,1,육상,,사족형,갈색,
37,vulpix-alolan,알로라식스테일,1,일반,여우포켓몬,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,얼음,,0.6,9.9,2,눈숨기,,눈퍼뜨리기,299,38,41,40,50,65,65,2,1,육상,,사족형,하양,
38,ninetales,나인테일,1,일반,여우포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,불꽃,,1.1,19.9,2,타오르는불꽃,,가뭄,505,73,76,75,81,100,100,2,1,육상,,사족형,노랑,
38,ninetales-alolan,알로라나인테일,1,일반,여우포켓몬,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2,얼음,페어리,1.1,19.9,2,눈숨기,,눈퍼뜨리기,505,73,67,75,81,100,109,2,1,육상,,사족형,파랑,
39,jigglypuff,푸린,1,일반,풍선포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,노말,페어리,0.5,5.5,3,헤롱헤롱바디,승기,프렌드가드,270,115,45,20,45,25,20,3,1,요정,,인간형,담홍,
40,wigglytuff,푸크린,1,일반,풍선포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,노말,페어리,1,12,3,헤롱헤롱바디,승기,통찰,435,140,70,45,85,50,45,3,1,요정,,인간형,담홍,
41,zubat,주뱃,1,일반,박쥐포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,독,비행,0.8,7.5,2,정신력,,틈새포착,245,40,45,35,30,40,55,2,1,비행,,단익형,보라,
42,golbat,골뱃,1,일반,박쥐포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,독,비행,1.6,55,2,정신력,,틈새포착,455,75,80,70,65,75,90,2,1,비행,,단익형,보라,
43,oddish,뚜벅쵸,1,일반,잡초포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,풀,독,0.5,5.4,2,엽록소,,도주,320,45,50,55,75,65,30,4,1,식물,,다리형,파랑,
44,gloom,냄새꼬,1,일반,잡초포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,풀,독,0.8,8.6,2,엽록소,,악취,395,60,65,70,85,75,40,4,1,식물,,인간형,파랑,
45,vileplume,라플레시아,1,일반,꽃포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,풀,독,1.2,18.6,2,엽록소,,포자,490,75,80,85,110,90,50,4,1,식물,,인간형,빨강,
46,paras,파라스,1,일반,버섯포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,벌레,풀,0.3,5.4,3,포자,건조피부,습기,285,35,70,55,45,55,25,2,2,벌레,식물,곤충형,빨강,
47,parasect,파라섹트,1,일반,버섯포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,벌레,풀,1,29.5,3,포자,건조피부,습기,405,60,95,80,60,80,30,2,2,벌레,식물,곤충형,빨강,
48,venonat,콘팡,1,일반,곤충포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,벌레,독,1,30,3,복안,색안경,도주,305,60,55,50,40,55,45,2,1,벌레,,인간형,보라,
49,venomoth,도나리,1,일반,독나방포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,벌레,독,1.5,12.5,3,인분,색안경,미라클스킨,450,70,65,60,90,75,90,2,1,벌레,,다익형,보라,
50,diglett,디그다,1,일반,두더지포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,땅,,0.2,0.8,3,모래숨기,개미지옥,모래의힘,265,10,55,25,35,45,95,2,1,육상,,기둥형,갈색,
50,diglett-alolan,알로라디그다,1,일반,두더지포켓몬,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2,땅,강철,0.2,1,3,모래숨기,컬리헤어,모래의힘,265,10,55,30,35,45,90,2,1,육상,,기둥형,갈색,
51,dugtrio,닥트리오,1,일반,두더지포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,땅,,0.7,33.3,3,모래숨기,개미지옥,모래의힘,425,35,100,50,50,70,120,2,1,육상,,군집형,갈색,
51,dugtrio-alolan,알로라닥트리오,1,일반,두더지포켓몬,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2,땅,강철,0.7,66.6,3,모래숨기,컬리헤어,모래의힘,425,35,100,60,50,70,110,2,1,육상,,군집형,갈색,
52,meowth,나옹,1,일반,요괴고양이포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,노말,,0.4,4.2,3,픽업,테크니션,긴장감,290,40,45,35,40,40,90,2,1,육상,,사족형,노랑,
52,meowth-alolan,알로라나옹,1,일반,요괴고양이포켓몬,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,악,,0.4,4.2,3,픽업,테크니션,주눅,290,40,35,35,50,40,90,2,1,육상,,사족형,파랑,
52,meowth-galarian,가라르나옹,1,일반,요괴고양이포켓몬,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,강철,,0.4,7.5,3,픽업,단단한발톱,긴장감,290,50,65,55,40,40,40,2,1,육상,,이족꼬리형,갈색,
53,persian,페르시온,1,일반,샴고양이포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,노말,,1,32,3,유연,테크니션,긴장감,440,65,70,60,65,65,115,2,1,육상,,사족형,노랑,
53,persian-alolan,알로라페르시온,1,일반,샴고양이포켓몬,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,악,,1.1,33,3,퍼코트,테크니션,주눅,440,65,60,60,75,65,115,2,1,육상,,사족형,파랑,
54,psyduck,고라파덕,1,일반,오리포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,물,,0.8,19.6,3,습기,날씨부정,쓱쓱,320,50,52,48,65,50,55,2,2,수중 1,육상,이족꼬리형,노랑,
55,golduck,골덕,1,일반,오리포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,물,,1.7,76.6,3,습기,날씨부정,쓱쓱,500,80,82,78,95,80,85,2,2,수중 1,육상,이족꼬리형,파랑,
56,mankey,망키,1,일반,돈숭이포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,격투,,0.5,28,3,의기양양,분노의경혈,오기,305,40,80,35,35,45,70,2,1,육상,,이족꼬리형,갈색,
57,primeape,성원숭,1,일반,돈숭이포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,격투,,1,32,3,의기양양,분노의경혈,오기,455,65,105,60,60,70,95,2,1,육상,,이족꼬리형,갈색,
58,growlithe,가디,1,일반,강아지포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,불꽃,,0.7,19,3,위협,타오르는불꽃,정의의마음,350,55,70,45,70,50,60,1,1,육상,,사족형,갈색,
58,growlithe-hisuian,히스이가디,1,일반,강아지포켓몬,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,불꽃,바위,0.8,22.7,3,위협,타오르는불꽃,돌머리,350,60,75,45,65,50,55,1,1,육상,,사족형,갈색,
59,arcanine,윈디,1,일반,전설포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,불꽃,,1.9,155,3,위협,타오르는불꽃,정의의마음,555,90,110,80,100,80,95,1,1,육상,,사족형,갈색,
59,arcanine-hisuian,히스이윈디,1,일반,전설포켓몬,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,불꽃,바위,2,168,3,위협,타오르는불꽃,돌머리,555,95,115,80,95,80,90,1,1,육상,,사족형,갈색,
60,poliwag,발챙이,1,일반,올챙이포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,물,,0.6,12.4,3,저수,습기,쓱쓱,300,40,50,40,40,40,90,4,1,수중 1,,다리형,파랑,
61,poliwhirl,슈륙챙이,1,일반,올챙이포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,물,,1,20,3,저수,습기,쓱쓱,385,65,65,65,50,50,90,4,1,수중 1,,인간형,파랑,
62,poliwrath,강챙이,1,일반,올챙이포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,물,격투,1.3,54,3,저수,습기,쓱쓱,510,90,95,95,70,90,70,4,1,수중 1,,인간형,파랑,
63,abra,캐이시,1,일반,초능력포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,에스퍼,,0.9,19.5,3,싱크로,정신력,매직가드,310,25,20,15,105,55,90,4,1,인간형,,이족꼬리형,갈색,
64,kadabra,윤겔라,1,일반,초능력포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,에스퍼,,1.3,56.5,3,싱크로,정신력,매직가드,400,40,35,30,120,70,105,4,1,인간형,,이족꼬리형,갈색,
65,alakazam,후딘,1,일반,초능력포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,에스퍼,,1.5,48,3,싱크로,정신력,매직가드,500,55,50,45,135,95,120,4,1,인간형,,인간형,갈색,
65,alakazam-mega,메가후딘,1,일반,초능력포켓몬,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,에스퍼,,1.2,48,1,트레이스,,,600,55,50,65,175,105,150,4,1,인간형,,인간형,갈색,
66,machop,알통몬,1,일반,괴력포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,격투,,0.8,19.5,3,근성,노가드,불굴의마음,305,70,80,50,35,35,35,4,1,인간형,,이족꼬리형,회색,
67,machoke,근육몬,1,일반,괴력포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,격투,,1.5,70.5,3,근성,노가드,불굴의마음,405,80,100,70,50,60,45,4,1,인간형,,인간형,회색,
68,machamp,괴력몬,1,일반,괴력포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,격투,,1.6,130,3,근성,노가드,불굴의마음,505,90,130,80,65,85,55,4,1,인간형,,인간형,회색,
69,bellsprout,모다피,1,일반,꽃포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,풀,독,0.7,4,2,엽록소,,먹보,300,50,75,35,70,30,40,4,1,식물,,인간형,초록,
70,weepinbell,우츠동,1,일반,파리잡이포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,풀,독,1,6.4,2,엽록소,,먹보,390,65,90,50,85,45,55,4,1,식물,,기둥형,초록,
71,victreebel,우츠보트,1,일반,파리잡이포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,풀,독,1.7,15.5,2,엽록소,,먹보,490,80,105,65,100,70,70,4,1,식물,,기둥형,초록,
71,victreebel-mega,메가우츠보트,1,일반,파리잡이포켓몬,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2,풀,독,4.5,125.5,2,엽록소,,,590,80,125,85,135,95,70,4,1,식물,,기둥형,노랑,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/007102.png
72,tentacool,왕눈해,1,일반,해파리포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,물,독,0.9,45.5,3,클리어바디,해감액,젖은접시,335,40,40,35,50,100,70,1,1,수중 3,,다족형,파랑,
73,tentacruel,독파리,1,일반,해파리포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,물,독,1.6,55,3,클리어바디,해감액,젖은접시,515,80,70,65,80,120,100,1,1,수중 3,,다족형,파랑,
74,geodude,꼬마돌,1,일반,암석포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,바위,땅,0.4,20,3,돌머리,옹골참,모래숨기,300,40,80,100,30,30,20,4,1,광물,,팔형,갈색,
74,geodude-alolan,알로라꼬마돌,1,일반,암석포켓몬,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2,바위,전기,0.4,20.3,3,자력,옹골참,일렉트릭스킨,300,40,80,100,30,30,20,4,1,광물,,팔형,회색,
75,graveler,데구리,1,일반,암석포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,바위,땅,1,105,3,돌머리,옹골참,모래숨기,390,55,95,115,45,45,35,4,1,광물,,인간형,갈색,
75,graveler-alolan,알로라데구리,1,일반,암석포켓몬,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2,바위,전기,1,110,3,자력,옹골참,일렉트릭스킨,390,55,95,115,45,45,35,4,1,광물,,인간형,회색,
76,golem,딱구리,1,일반,메가톤포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,바위,땅,1.4,300,3,돌머리,옹골참,모래숨기,495,80,120,130,55,65,45,4,1,광물,,인간형,갈색,
76,golem-alolan,알로라딱구리,1,일반,메가톤포켓몬,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2,바위,전기,1.7,316,3,자력,옹골참,일렉트릭스킨,495,80,120,130,55,65,45,4,1,광물,,인간형,회색,
77,ponyta,포니타,1,일반,불의말포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,불꽃,,1,30,3,도주,타오르는불꽃,불꽃몸,410,50,85,55,65,65,90,2,1,육상,,사족형,노랑,
77,ponyta-galarian,가라르포니타,1,일반,불의말포켓몬,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,에스퍼,,0.8,24,3,도주,파스텔베일,위험예지,410,50,85,55,65,65,90,2,1,육상,,사족형,하양,
78,rapidash,날쌩마,1,일반,불의말포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,불꽃,,1.7,95,3,도주,타오르는불꽃,불꽃몸,500,65,100,70,80,80,105,2,1,육상,,사족형,노랑,
